# Airline ICAO-to-telephony map, derived from OpenFlights airlines.dat.
# Source: https://openflights.org/data.html
# License: ODbL 1.0 (see LICENSE-OPENFLIGHTS.txt in this directory)
# Columns: icao<TAB>callsign<TAB>name<TAB>country
# Regenerate: python tools/refresh-airlines.py
AZW	AIR ZIMBABWE	Air Zimbabwe	Zimbabwe
AZX	AZIMA	Air Max Africa	Gabon
AZZ	AZZA TRANSPORT	Azza Transport	Sudan
BAA	BALKAN AGRO	Balkan Agro Aviation	Bulgaria
BAB	AWAL	Bahrain Air BSC (Closed)	Bahrain
BAE	FELIX	BAE Systems	United Kingdom
BAF	BELGIAN AIRFORCE	Belgian Air Force	Belgium
BAG	SPEEDWAY	dba	Germany
BAH	BAHRAIN	The Amiri Flight	Bahrain
BAJ	BAKER AVIATION	Baker Aviation	United States
BAK	BLACKHAWK	Blackhawk Airways	United States
BAL	BRITANNIA	Britannia Airways	United Kingdom
BAM	BUSINESS AIR	Business Air Services	Canada
BAN	PENGUIN	British Antarctic Survey	United Kingdom
BAP	BIG APPLE	Trans International Express Aviation	United States
BAR	BRADLEY	Bradly Air (Charter) Services	Canada
BAS	AEROSERV	Aero Services	Barbados
BAT	BALLISTIC	Premiair	Luxembourg
BAU	AIR BISSAU	Bissau Airlines	Guinea-Bissau
BAV	BAY AIR	Bay Aviation Ltd	Bangladesh
BAW	SPEEDBIRD	British Airways	United Kingdom
BAY	BAYON	Bayon Airlines	Cambodia
BBA	BANAIR	Bannert Air	Austria
BBB	BLACKBIRD	SwedJet Airways	Sweden
BBC	BANGLADESH	Biman Bangladesh Airlines	Bangladesh
BBD	BLUE CARGO	Bluebird Cargo	Iceland
BBE	BABEL AIR	Ababeel Aviation	Sudan
BBL	BLUE	IBM Euroflight Operations	Switzerland
BBO	BABOO	Flybaboo	Switzerland
BBR	SANTA BARBARA	Santa Barbara Airlines	Venezuela
BBS	BEIBARS	Beibars CJSC	Kazakhstan
BBT	AGYDAL	Air Bashkortostan	Russia
BBV	BRAVO EUROPE	Bravo Airlines	Spain
BBZ	COBRA	Blue Bird Aviation	Kenya
BCB	WAVEBIRD	Carib Express	Barbados
BCF	BACH	BACH Flugbetriebsges	Austria
BCH	BEACHBALL	Phillips Air	United States
BCI	BLUE ISLAND	Blue Islands	United Kingdom
BCK	BANKCHECK	Priority Aviation Company	United States
BCN	BLUE OCEAN	Ocean Air	Mauritania
BCR	BACKER	British Charter	United Kingdom
BCS	EUROTRANS	European Air Transport	Belgium
BCT	BOBCAT	BCT Aviation	United Kingdom
BCV	BUSINESS AVIATION	Business Aviation Center	Ukraine
BCY	CITY-IRELAND	CityJet	Ireland
BDA	BLUE DART	Blue Dart Aviation	India
BDF	BISSAU DISCOVERY	Bissau Discovery Flying Club	Guinea-Bissau
BDG	BULLDOG	Mississippi State University	United States
BDM	BANDAMA	Air Bandama	Ivory Coast
BDN	GAUNTLET	DERA Boscombe Down	United Kingdom
BDR	BADR AIR	Badr Airlines	Sudan
BDS	SOUTH ASIAN	South Asian Airlines	Bangladesh
BEA	BEST AIR	Best Aviation Ltd	Bangladesh
BED	BELOGORYE	Belgorod Aviation Enterprise	Russia
BEE	JERSEY	Flybe	United Kingdom
BEF	BALEAR EXPRESS	Balear Express	Spain
BEH	BLUECOPTER	Bel Air Helicopters	Denmark
